id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
2310,3721,Kirby & the Amazing Mirror,NULL,2004-04-15 00:00:00.000,15,NULL,NULL,NULL,84.8264,59
2508,5440,Kirby Triple Deluxe,NULL,2014-01-11 00:00:00.000,14,NULL,78.5455,11,85.0000,39
2636,28126,Team Kirby Clash Deluxe,"No matter what, each mighty role offers up a unique way to play. Puff up your power by crafting new weapons and spending materials at the shop to receive even more weapons, not to mention armor and items. Beyond the main game, there's also a ton of quests and a brand-new challenge system. Plus, tapping compatible amiibo figures/accessories will earn you extra fragments to help craft new gear! Are you ready? For Kirby, the answer is always fight and flight.",2017-04-12 00:00:00.000,3,NULL,47.0000,1,NULL,NULL
2803,18221,Kirby: Planet Robobot,NULL,2016-04-28 00:00:00.000,10,NULL,82.2667,16,87.7104,25
29114,42257,Kirby no Omochabako: Baseball,NULL,1995-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32906,113211,Kirby's Super Star Stacker,NULL,1998-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
38454,176042,Kid Kirby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42154,109460,Kirby's Extra Epic Yarn,NULL,2019-03-08 00:00:00.000,1,1,80.4286,7,70.0155,5
42379,95893,kirby original adventure classic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48383,3725,Kirby's Return to Dream Land,NULL,2011-10-24 00:00:00.000,12,NULL,86.5000,4,89.8201,34
55522,3724,Kirby Mass Attack,NULL,2011-08-04 00:00:00.000,4,NULL,85.5000,5,71.4927,17
65019,3655,Kirby's Star Stacker,NULL,1997-03-18 00:00:00.000,1,NULL,NULL,NULL,70.0000,2
65324,3718,Kirby's Dream Land 2,NULL,1995-03-21 00:00:00.000,9,NULL,NULL,NULL,80.0345,35
67836,3729,Kirby Tilt 'n' Tumble,NULL,2000-08-23 00:00:00.000,NULL,NULL,NULL,NULL,72.4514,5
68910,3717,Kirby's Adventure,NULL,1993-03-23 00:00:00.000,30,NULL,60.0000,1,80.9254,120
69283,3726,Kirby: Nightmare in Dream Land,NULL,2002-10-25 00:00:00.000,10,NULL,70.0000,1,83.3817,61
69707,7338,Kirby and the Rainbow Curse,NULL,2015-01-22 00:00:00.000,5,2,73.1250,9,78.0153,16
69919,84259,Kirby Slide,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72141,3722,Kirby: Canvas Curse,NULL,2005-03-24 00:00:00.000,6,NULL,85.0000,2,71.7231,34
74602,3720,Kirby's Dream Land 3,NULL,1997-11-27 00:00:00.000,9,NULL,NULL,NULL,81.6219,38
77638,134458,Kirby no Omochabako: Kachiwari Megaton Punch wo Tameshi Ban,NULL,1996-02-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81135,145720,Game Boy Advance Video: Kirby: Right Back at Ya!,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92786,134454,Kirby no Omochabako: Cannonball,NULL,1996-02-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
